Date,births,,,,,,,
2/5/1970,9766,,,,,,,
2/6/1970,10220,,,,,,,
2/7/1970,9562,,,,,,,
2/8/1970,9016,,,,,,,
2/9/1970,10226,,,,,,,
2/10/1970,10620,,,,,,,
2/11/1970,10288,,,,,,,
2/12/1970,10058,,,,,,,
2/13/1970,10110,,,,,,,
2/14/1970,9558,,,,,,,
2/15/1970,9136,,,,,,,
2/16/1970,10260,,,,,,,
2/17/1970,10676,,,,,,,
2/18/1970,10472,,,,,,,
2/19/1970,10072,,,,,,,
2/20/1970,10544,,,,,,,
2/21/1970,9314,,,,,,,
2/22/1970,8986,,,,,,,
2/23/1970,10168,,,,,,,
2/24/1970,10782,,,,,,,
2/25/1970,10574,,,,,,,
2/26/1970,10408,,,,,,,
2/27/1970,10264,,,,,,,
2/28/1970,9720,,,,,,,
3/1/1970,8882,,,,,,,
3/2/1970,10170,,,,,,,
3/3/1970,11306,,,,,,,
3/4/1970,10600,,,,,,,
3/5/1970,10258,,,,,,,
3/6/1970,10504,,,,,,,
3/7/1970,9460,,,,,,,
3/8/1970,8926,,,,,,,
3/9/1970,10340,,,,,,,
3/10/1970,10744,,,,,,,
3/11/1970,10410,,,,,,,
3/12/1970,10180,,,,,,,
3/13/1970,10140,,,,,,,
3/14/1970,9450,,,,,,,
3/15/1970,8596,,,,,,,
3/16/1970,10058,,,,,,,
3/17/1970,10694,,,,,,,
3/18/1970,10278,,,,,,,
3/19/1970,10100,,,,,,,
3/20/1970,10206,,,,,,,
3/21/1970,9390,,,,,,,
3/22/1970,8784,,,,,,,
3/23/1970,10334,,,,,,,
3/24/1970,10556,,,,,,,
3/25/1970,10148,,,,,,,
3/26/1970,9886,,,,,,,
3/27/1970,9792,,,,,,,
3/28/1970,8764,,,,,,,
3/29/1970,8314,,,,,,,
3/30/1970,9766,,,,,,,
3/31/1970,10172,,,,,,,
4/1/1970,10002,,,,,,,
4/2/1970,10134,,,,,,,
4/3/1970,10116,,,,,,,
4/4/1970,9234,,,,,,,
4/5/1970,8522,,,,,,,
4/6/1970,10052,,,,,,,
4/7/1970,10474,,,,,,,
4/8/1970,9950,,,,,,,
4/9/1970,9898,,,,,,,
4/10/1970,10072,,,,,,,
4/11/1970,9040,,,,,,,
4/12/1970,8214,,,,,,,
4/13/1970,9470,,,,,,,
4/14/1970,10100,,,,,,,
4/15/1970,9824,,,,,,,
4/16/1970,9668,,,,,,,
4/17/1970,9706,,,,,,,
4/18/1970,8786,,,,,,,
4/19/1970,8174,,,,,,,
4/20/1970,9574,,,,,,,
4/21/1970,10098,,,,,,,
4/22/1970,9714,,,,,,,
4/23/1970,9518,,,,,,,
4/24/1970,9860,,,,,,,
4/25/1970,8824,,,,,,,
4/26/1970,8278,,,,,,,
4/27/1970,9910,,,,,,,
4/28/1970,10300,,,,,,,
4/29/1970,9728,,,,,,,
4/30/1970,9684,,,,,,,
5/1/1970,9946,,,,,,,
5/2/1970,8740,,,,,,,
5/3/1970,8036,,,,,,,
5/4/1970,9752,,,,,,,
5/5/1970,10136,,,,,,,
5/6/1970,9712,,,,,,,
5/7/1970,9632,,,,,,,
5/8/1970,9836,,,,,,,
5/9/1970,8996,,,,,,,
5/10/1970,8428,,,,,,,
5/11/1970,10080,,,,,,,
5/12/1970,10436,,,,,,,
5/13/1970,10026,,,,,,,
5/14/1970,9812,,,,,,,
5/15/1970,10214,,,,,,,
5/16/1970,8946,,,,,,,
5/17/1970,8030,,,,,,,
5/18/1970,10022,,,,,,,
5/19/1970,10436,,,,,,,
5/20/1970,10044,,,,,,,
5/21/1970,10244,,,,,,,
5/22/1970,10362,,,,,,,
5/23/1970,9424,,,,,,,
5/24/1970,8718,,,,,,,
5/25/1970,10076,,,,,,,
5/26/1970,10598,,,,,,,
5/27/1970,10034,,,,,,,
5/28/1970,10040,,,,,,,
5/29/1970,9984,,,,,,,
5/30/1970,8868,,,,,,,
5/31/1970,8388,,,,,,,
6/1/1970,10124,,,,,,,
6/2/1970,10882,,,,,,,
6/3/1970,10270,,,,,,,
6/4/1970,9964,,,,,,,
6/5/1970,10060,,,,,,,
6/6/1970,9516,,,,,,,
6/7/1970,8500,,,,,,,
6/8/1970,9946,,,,,,,
6/9/1970,10764,,,,,,,
6/10/1970,10330,,,,,,,
6/11/1970,10518,,,,,,,
6/12/1970,10774,,,,,,,
6/13/1970,9212,,,,,,,
6/14/1970,8614,,,,,,,
6/15/1970,10216,,,,,,,
6/16/1970,10878,,,,,,,
6/17/1970,10610,,,,,,,
6/18/1970,10520,,,,,,,
6/19/1970,10390,,,,,,,
6/20/1970,9600,,,,,,,
6/21/1970,8568,,,,,,,
6/22/1970,10352,,,,,,,
6/23/1970,10678,,,,,,,
6/24/1970,10644,,,,,,,
6/25/1970,10326,,,,,,,
6/26/1970,10622,,,,,,,
6/27/1970,9672,,,,,,,
6/28/1970,8728,,,,,,,
6/29/1970,10506,,,,,,,
6/30/1970,11378,,,,,,,
7/1/1970,11108,,,,,,,
7/2/1970,11234,,,,,,,
7/3/1970,10516,,,,,,,
7/4/1970,9380,,,,,,,
7/5/1970,9020,,,,,,,
7/6/1970,10518,,,,,,,
7/7/1970,11292,,,,,,,
7/8/1970,10896,,,,,,,
7/9/1970,10716,,,,,,,
7/10/1970,10862,,,,,,,
7/11/1970,9690,,,,,,,
7/12/1970,9184,,,,,,,
7/13/1970,10568,,,,,,,
7/14/1970,11828,,,,,,,
7/15/1970,11078,,,,,,,
7/16/1970,11048,,,,,,,
7/17/1970,10938,,,,,,,
7/18/1970,9966,,,,,,,
7/19/1970,9520,,,,,,,
7/20/1970,10982,,,,,,,
7/21/1970,11448,,,,,,,
7/22/1970,10682,,,,,,,
7/23/1970,10844,,,,,,,
7/24/1970,10956,,,,,,,
7/25/1970,9866,,,,,,,
7/26/1970,9466,,,,,,,
7/27/1970,11052,,,,,,,
7/28/1970,11858,,,,,,,
7/29/1970,11354,,,,,,,
7/30/1970,11056,,,,,,,
7/31/1970,11300,,,,,,,
8/1/1970,10416,,,,,,,
8/2/1970,9282,,,,,,,
8/3/1970,11180,,,,,,,
8/4/1970,11180,,,,,,,
8/5/1970,10872,,,,,,,
8/6/1970,10836,,,,,,,
8/7/1970,11022,,,,,,,
8/8/1970,10232,,,,,,,
8/9/1970,9458,,,,,,,
8/10/1970,10846,,,,,,,
8/11/1970,11566,,,,,,,
8/12/1970,11484,,,,,,,
8/13/1970,11060,,,,,,,
8/14/1970,11538,,,,,,,
8/15/1970,10236,,,,,,,
8/16/1970,9616,,,,,,,
8/17/1970,11032,,,,,,,
8/18/1970,11648,,,,,,,
8/19/1970,11134,,,,,,,
8/20/1970,10868,,,,,,,
8/21/1970,11050,,,,,,,
8/22/1970,9958,,,,,,,
8/23/1970,9274,,,,,,,
8/24/1970,10456,,,,,,,
8/25/1970,11384,,,,,,,
8/26/1970,11306,,,,,,,
8/27/1970,10664,,,,,,,
8/28/1970,11004,,,,,,,
8/29/1970,10042,,,,,,,
8/30/1970,9392,,,,,,,
8/31/1970,11078,,,,,,,
9/1/1970,11350,,,,,,,
9/2/1970,10936,,,,,,,
9/3/1970,11088,,,,,,,
9/4/1970,11366,,,,,,,
9/5/1970,10216,,,,,,,
9/6/1970,9486,,,,,,,
9/7/1970,9564,,,,,,,
9/8/1970,11310,,,,,,,
9/9/1970,11860,,,,,,,
9/10/1970,11654,,,,,,,
9/11/1970,11592,,,,,,,
9/12/1970,10218,,,,,,,
9/13/1970,9544,,,,,,,
9/14/1970,11304,,,,,,,
9/15/1970,11904,,,,,,,
9/16/1970,11704,,,,,,,
9/17/1970,11472,,,,,,,
9/18/1970,11546,,,,,,,
9/19/1970,10492,,,,,,,
9/20/1970,9976,,,,,,,
9/21/1970,11614,,,,,,,
9/22/1970,12466,,,,,,,
9/23/1970,11798,,,,,,,
9/24/1970,11448,,,,,,,
9/25/1970,11916,,,,,,,
9/26/1970,10404,,,,,,,
9/27/1970,9816,,,,,,,
9/28/1970,11340,,,,,,,
9/29/1970,11564,,,,,,,
9/30/1970,11244,,,,,,,
10/1/1970,10782,,,,,,,
10/2/1970,11210,,,,,,,
10/3/1970,10492,,,,,,,
10/4/1970,9372,,,,,,,
10/5/1970,11048,,,,,,,
10/6/1970,11582,,,,,,,
10/7/1970,11020,,,,,,,
10/8/1970,10772,,,,,,,
10/9/1970,11196,,,,,,,
10/10/1970,9790,,,,,,,
10/11/1970,9214,,,,,,,
10/12/1970,11016,,,,,,,
10/13/1970,11236,,,,,,,
10/14/1970,10882,,,,,,,
10/15/1970,10644,,,,,,,
10/16/1970,10704,,,,,,,
10/17/1970,9490,,,,,,,
10/18/1970,8924,,,,,,,
10/19/1970,10500,,,,,,,
10/20/1970,11138,,,,,,,
10/21/1970,10716,,,,,,,
10/22/1970,10478,,,,,,,
10/23/1970,10654,,,,,,,
10/24/1970,9598,,,,,,,
10/25/1970,9266,,,,,,,
10/26/1970,10616,,,,,,,
10/27/1970,10956,,,,,,,
10/28/1970,10262,,,,,,,
10/29/1970,10122,,,,,,,
10/30/1970,10614,,,,,,,
10/31/1970,9592,,,,,,,
11/1/1970,9070,,,,,,,
11/2/1970,10568,,,,,,,
11/3/1970,11146,,,,,,,
11/4/1970,10622,,,,,,,
11/5/1970,10454,,,,,,,
11/6/1970,10722,,,,,,,
11/7/1970,9460,,,,,,,
11/8/1970,9132,,,,,,,
11/9/1970,10562,,,,,,,
11/10/1970,11328,,,,,,,
11/11/1970,10612,,,,,,,
11/12/1970,10704,,,,,,,
11/13/1970,10850,,,,,,,
11/14/1970,9828,,,,,,,
11/15/1970,9282,,,,,,,
11/16/1970,10690,,,,,,,
11/17/1970,11182,,,,,,,
11/18/1970,10914,,,,,,,
11/19/1970,10828,,,,,,,
11/20/1970,11126,,,,,,,
11/21/1970,9926,,,,,,,
11/22/1970,8926,,,,,,,
11/23/1970,10940,,,,,,,
11/24/1970,11152,,,,,,,
11/25/1970,10542,,,,,,,
11/26/1970,8712,,,,,,,
11/27/1970,10038,,,,,,,
11/28/1970,9670,,,,,,,
11/29/1970,9190,,,,,,,
11/30/1970,11126,,,,,,,
12/1/1970,11328,,,,,,,
12/2/1970,11180,,,,,,,
12/3/1970,10368,,,,,,,
12/4/1970,10872,,,,,,,
12/5/1970,9610,,,,,,,
12/6/1970,9272,,,,,,,
12/7/1970,10720,,,,,,,
12/8/1970,11220,,,,,,,
12/9/1970,10708,,,,,,,
12/10/1970,10756,,,,,,,
12/11/1970,10704,,,,,,,
12/12/1970,10040,,,,,,,
12/13/1970,9204,,,,,,,
12/14/1970,11070,,,,,,,
12/15/1970,11884,,,,,,,
12/16/1970,11586,,,,,,,
12/17/1970,11234,,,,,,,
12/18/1970,11708,,,,,,,
12/19/1970,10518,,,,,,,
12/20/1970,9322,,,,,,,
12/21/1970,11372,,,,,,,
12/22/1970,11008,,,,,,,
12/23/1970,10070,,,,,,,
12/24/1970,9120,,,,,,,
12/25/1970,8490,,,,,,,
12/26/1970,9366,,,,,,,
12/27/1970,9314,,,,,,,
12/28/1970,11640,,,,,,,
12/29/1970,12448,,,,,,,
12/30/1970,11932,,,,,,,
12/31/1970,11210,,,,,,,
1/1/1971,8848,,,,,,,
1/2/1971,9226,,,,,,,
1/3/1971,8798,,,,,,,
1/4/1971,10044,,,,,,,
1/5/1971,10538,,,,,,,
1/6/1971,10146,,,,,,,
1/7/1971,10030,,,,,,,
1/8/1971,10486,,,,,,,
1/9/1971,9280,,,,,,,
1/10/1971,9116,,,,,,,
1/11/1971,10824,,,,,,,
1/12/1971,11064,,,,,,,
1/13/1971,10664,,,,,,,
1/14/1971,10364,,,,,,,
1/15/1971,10874,,,,,,,
1/16/1971,9590,,,,,,,
1/17/1971,8806,,,,,,,
1/18/1971,10974,,,,,,,
1/19/1971,11020,,,,,,,
1/20/1971,10598,,,,,,,
1/21/1971,10492,,,,,,,
1/22/1971,10730,,,,,,,
1/23/1971,9802,,,,,,,
1/24/1971,8994,,,,,,,
1/25/1971,10558,,,,,,,
1/26/1971,10996,,,,,,,
1/27/1971,10442,,,,,,,
1/28/1971,10392,,,,,,,
1/29/1971,10274,,,,,,,
1/30/1971,9772,,,,,,,
1/31/1971,9064,,,,,,,
2/1/1971,10410,,,,,,,
2/2/1971,10804,,,,,,,
2/3/1971,10296,,,,,,,
2/4/1971,10170,,,,,,,
2/5/1971,10868,,,,,,,
2/6/1971,9478,,,,,,,
2/7/1971,9038,,,,,,,
2/8/1971,10266,,,,,,,
2/9/1971,10778,,,,,,,
2/10/1971,10354,,,,,,,
2/11/1971,10372,,,,,,,
2/12/1971,10786,,,,,,,
2/13/1971,9314,,,,,,,
2/14/1971,9068,,,,,,,
2/15/1971,10056,,,,,,,
2/16/1971,10514,,,,,,,
2/17/1971,10442,,,,,,,
2/18/1971,10228,,,,,,,
2/19/1971,10472,,,,,,,
2/20/1971,9502,,,,,,,
2/21/1971,9194,,,,,,,
2/22/1971,10752,,,,,,,
2/23/1971,10782,,,,,,,
2/24/1971,10532,,,,,,,
2/25/1971,10402,,,,,,,
2/26/1971,10738,,,,,,,
2/27/1971,9586,,,,,,,
2/28/1971,8810,,,,,,,
3/1/1971,10280,,,,,,,
3/2/1971,10398,,,,,,,
3/3/1971,10634,,,,,,,
3/4/1971,10326,,,,,,,
3/5/1971,10452,,,,,,,
3/6/1971,9460,,,,,,,
3/7/1971,8744,,,,,,,
3/8/1971,10156,,,,,,,
3/9/1971,10766,,,,,,,
3/10/1971,10470,,,,,,,
3/11/1971,10300,,,,,,,
3/12/1971,10474,,,,,,,
3/13/1971,9408,,,,,,,
3/14/1971,8838,,,,,,,
3/15/1971,10348,,,,,,,
3/16/1971,10438,,,,,,,
3/17/1971,10234,,,,,,,
3/18/1971,9798,,,,,,,
3/19/1971,10476,,,,,,,
3/20/1971,9164,,,,,,,
3/21/1971,8688,,,,,,,
3/22/1971,10142,,,,,,,
3/23/1971,10340,,,,,,,
3/24/1971,9808,,,,,,,
3/25/1971,9954,,,,,,,
3/26/1971,9870,,,,,,,
3/27/1971,8796,,,,,,,
3/28/1971,8672,,,,,,,
3/29/1971,10220,,,,,,,
3/30/1971,10416,,,,,,,
3/31/1971,10224,,,,,,,
4/1/1971,9756,,,,,,,
4/2/1971,10266,,,,,,,
